k,t,Bus_IMU.imu_gyro.1,Bus_IMU.imu_gyro.2,Bus_IMU.imu_gyro.3,Bus_IMU.imu_acc.1,Bus_IMU.imu_acc.2,Bus_IMU.imu_acc.3,Bus_Cmd.F_des.1,Bus_Cmd.q_des.1,Bus_Cmd.q_des.2,Bus_Cmd.q_des.3,Bus_Cmd.q_des.4,Bus_Cmd.q_ref.1,Bus_Cmd.q_ref.2,Bus_Cmd.q_ref.3,Bus_Cmd.q_ref.4,Bus_Cmd.Omega_ref.1,Bus_Cmd.Omega_ref.2,Bus_Cmd.Omega_ref.3,Bus_Cmd.tau_ref.1,Bus_Cmd.tau_ref.2,Bus_Cmd.tau_ref.3,Bus_Cmd.q_ext.1,Bus_Cmd.q_ext.2,Bus_Cmd.q_ext.3,Bus_Cmd.q_ext.4,Bus_Cmd.estop.1,Bus_Cmd.ack.1,batt_count.1,btn_ack.1,rotor_cmd.1,rotor_cmd.2,rotor_cmd.3,rotor_cmd.4,led.1,throttle.1,throttle.2,throttle.3,throttle.4
32,0.032000000000000001,0.18106560201837499,-0.1771405696955802,0.18404136000235627,0.1220495549065288,-0.16147042510042919,-4.5090875252995319,9.4180120242927341,0.99997606444981646,0.0041513118269268937,-0.0055350824359025243,0,1,0,0,0,0,0,0,0,0,0,0.99997223470861951,0,0.0027675412179512622,0.0069188530448781559,0,0,944,0,1156.5766754461558,1094.9155134316577,1154.3121116478892,1065.391544450853,0,24.345141280395275,22.740320453145465,24.28485631670867,21.999184011589726
33,0.033000000000000002,0.18611832190430139,-0.18064339866035711,0.18099282810446024,0.36581183365347719,-0.34238535230873873,-4.7497219425228199,9.4180120242927341,0.99997606444981646,0.0041513118269268937,-0.0055350824359025243,0,1,0,0,0,0,0,0,0,0,0,0.99997223470861951,0,0.0027675412179512622,0.0069188530448781559,0,0,944,0,1156.457324943995,1094.6041793902032,1153.8921900121752,1066.2955226847582,0,24.341961508655995,22.732412215061952,24.27368877447001,22.021611366045818
34,0.034000000000000002,0.18476838983092481,-0.18309549545959075,0.18210754281999608,0.31863744833153546,-0.47270780980868993,-4.7976913020044512,9.4180120242927341,0.99997606444981646,0.0041513118269268937,-0.0055350824359025243,0,1,0,0,0,0,0,0,0,0,0,0.99997223470861951,0,0.0027675412179512622,0.0069188530448781559,0,0,944,0,1159.7685636665053,1090.8347508250895,1157.7687559872224,1062.3526319480138,0,24.430285352526283,22.63682099568647,24.376916556985485,21.923913027633098
35,0.035000000000000003,0.17920778547832258,-0.18281654924552498,0.18223513386692763,0.078852637408799442,-0.47660167451362023,-4.8845480097155622,9.4094668416394551,0.9999913832679338,0,-0.0041513118269268937,0,1,0,0,0,0,0,0,0,0,0,0.99998276646161821,-0.0013837706089756311,-0.0013837706089756311,-0.0055350824359025243,0,0,944,0,1159.717936796565,1085.3390835635712,1150.3649618723371,1073.880238251387,0,24.428933296884829,22.497971874872576,24.180022807774833,22.210446711569801
36,0.036000000000000004,0.18448539243056941,-0.18351053288324526,0.17922264827978088,0.32302709950098141,-0.52046019863254522,-5.1069866345183907,9.4094668416394551,0.9999913832679338,0,-0.0041513118269268937,0,1,0,0,0,0,0,0,0,0,0,0.99998276646161821,-0.0013837706089756311,-0.0013837706089756311,-0.0055350824359025243,0,0,944,0,1153.7822550690496,1091.341401440284,1144.065601723855,1080.8974434196161,0,24.270765704936338,22.649652623833461,24.013358610611739,22.38620348815261
37,0.036999999999999998,0.18050550798666792,-0.18030176911147464,0.18142203051672626,0.14754566344687453,-0.38499417709320877,-5.0892890319028901,9.4094668416394551,0.9999913832679338,0,-0.0041513118269268937,0,1,0,0,0,0,0,0,0,0,0,0.99998276646161821,-0.0013837706089756311,-0.0013837706089756311,-0.0055350824359025243,0,0,944,0,1152.4785812612722,1093.1011882189969,1143.1811553468401,1081.4456477127176,0,24.236120522675602,22.694262277065857,23.990021856258913,22.399976559478411
38,0.037999999999999999,0.18285845036598705,-0.18145794917225155,0.18142603609343391,0.25355034483319638,-0.44200765627347233,-5.1643310421452222,9.4094668416394551,0.9999913832679338,0,-0.0041513118269268937,0,1,0,0,0,0,0,0,0,0,0,0.99998276646161821,-0.0013837706089756311,-0.0013837706089756311,-0.0055350824359025243,0,0,944,0,1149.3163416000332,1096.0806720329153,1140.1412350673629,1084.9986185589134,0,24.152224291060648,22.769934300663905,23.909930442857728,22.48939023055701
39,0.039,0.17776199192359041,-0.17891213312720058,0.17947667292870359,0.021512061687146589,-0.3288776546603196,-5.3210246795092608,9.4094668416394551,0.9999913832679338,0,-0.0041513118269268937,0,1,0,0,0,0,0,0,0,0,0,0.99998276646161821,-0.0013837706089756311,-0.0013837706089756311,-0.0055350824359025243,0,0,944,0,1144.1051659750754,1101.8421686499794,1135.5260541372008,1089.5011316185717,0,24.014402906549307,22.916774866338891,23.788689382753272,22.6030702477738
40,0.040000000000000001,0.18234121590152685,-0.18197919037009713,0.17956955544193365,0.22173071817231615,-0.46461852825298788,-5.3795043429604519,9.4094668416394551,0.9999913832679338,0,-0.0041513118269268937,0,1,0,0,0,0,0,0,0,0,0,0.99998276646161821,-0.0013837706089756311,-0.0013837706089756311,-0.0055350824359025243,0,0,944,0,1141.1801840828089,1104.243561028725,1132.6502212005712,1093.1250398039181,0,23.937282407796125,22.978176963793622,23.713356670250032,22.69486733509536
41,0.041000000000000002,0.18531325357086889,-0.18552233543682112,0.18442150709628646,0.34715803064373624,-0.6184505172493362,-5.2174248492382462,9.4094668416394551,0.9999913832679338,0,-0.0041513118269268937,0,1,0,0,0,0,0,0,0,0,0,0.99998276646161821,-0.0013837706089756311,-0.0013837706089756311,-0.0055350824359025243,0,0,944,0,1142.7087516604868,1101.9157869113931,1134.6673450331748,1091.784435865449,0,23.977563540341389,22.918655501316387,23.76617807141319,22.660877369350573
42,0.042000000000000003,0.1795273517089237,-0.18178750736637894,0.18978917445995294,0.076567227244085684,-0.4419285654151221,-5.0254382701191771,9.4094668416394551,0.9999913832679338,0,-0.0041513118269268937,0,1,0,0,0,0,0,0,0,0,0,0.99998276646161821,-0.0013837706089756311,-0.0013837706089756311,-0.0055350824359025243,0,0,944,0,1144.7860243360722,1100.2580058930837,1137.3574832509171,1088.4760746542929,0,24.032379012462137,22.876332858808418,23.836750142194681,22.577153122658778
43,0.043000000000000003,0.1843692549600939,-0.1818868401538403,0.18054911572766047,0.2819686392855239,-0.43495242968567038,-5.4834604023946705,9.4094668416394551,0.9999913832679338,0,-0.0041513118269268937,0,1,0,0,0,0,0,0,0,0,0,0.99998276646161821,-0.0013837706089756311,-0.0013837706089756311,-0.0055350824359025243,0,0,944,0,1133.4186436739926,1111.8021781650173,1125.4615651348026,1100.9356434654771,0,23.733469348922092,23.172208528656263,23.525774593350725,22.893625999177146
44,0.043999999999999997,0.18535608703769454,-0.18481682147634743,0.1809300145025996,0.31243814765149697,-0.55263665018061858,-5.5019452792981394,9.4094668416394551,0.9999913832679338,0,-0.0041513118269268937,0,1,0,0,0,0,0,0,0,0,0,0.99998276646161821,-0.0013837706089756311,-0.0013837706089756311,-0.0055350824359025243,0,0,944,0,1130.7635287954618,1113.886896429093,1123.4219961619349,1103.6384250730966,0,23.664024617149185,23.225927046973574,23.472742743081504,22.962692996367579
45,0.044999999999999998,0.19015254926635011,-0.18506010207153109,0.1806212849410202,0.51291770743405241,-0.547123996931558,-5.5444690509973267,9.6499526963103115,0.99999617035047039,-0.0027675412179512622,0,0,1,0,0,0,0,0,0,0,0,0,0.99998085160568684,-0.0027675412179512622,0,0.0055350824359025243,0,0,944,0,1145.1325341723184,1114.8326315704544,1141.5953546660248,1126.8630326725192,0,24.041531157601682,23.250325463053795,23.948218454912052,23.562263320273349
46,0.045999999999999999,0.18507159753846691,-0.18684760439612816,0.17869463901805824,0.26823540021812053,-0.60889482125256722,-5.6527636485409625,9.6499526963103115,0.99999617035047039,-0.0027675412179512622,0,0,1,0,0,0,0,0,0,0,0,0,0.99998085160568684,-0.0027675412179512622,0,0.0055350824359025243,0,0,944,0,1145.1220341782887,1114.531208145429,1142.9649084348898,1125.7830592209441,0,24.041253792723221,23.242547272466652,23.984318400604252,23.534141551855733
47,0.047,0.18406511701241868,-0.1888464499294133,0.17688854472551069,0.20601574219967875,-0.67826570086453808,-5.7486805737717495,9.6499526963103115,0.99999617035047039,-0.0027675412179512622,0,0,1,0,0,0,0,0,0,0,0,0,0.99998085160568684,-0.0027675412179512622,0,0.0055350824359025243,0,0,944,0,1145.4499605005994,1113.8642028170034,1144.0647391389366,1124.9921616456486,0,24.049917239661049,23.225341810851546,24.013335843084565,23.513561989312958
48,0.048000000000000001,0.18726054494483574,-0.18453889867989476,0.18680840768675916,0.33225588857988153,-0.46243941896152385,-5.3104289871810657,9.6499526963103115,0.99999617035047039,-0.0027675412179512622,0,0,1,0,0,0,0,0,0,0,0,0,0.99998085160568684,-0.0027675412179512622,0,0.0055350824359025243,0,0,944,0,1157.7056419091095,1101.7539424658364,1155.4708397914851,1112.6471142179528,0,24.375233524833725,22.914521205613621,24.315690103226874,23.193970056481362
49,0.049000000000000002,0.18774103799304367,-0.1862918804433768,0.18496868936510991,0.33619571960874794,-0.51780131831310294,-5.3941383031386261,9.6499526963103115,0.99999617035047039,-0.0027675412179512622,0,0,1,0,0,0,0,0,0,0,0,0,0.99998085160568684,-0.0027675412179512622,0,0.0055350824359025243,0,0,944,0,1158.0930533788837,1101.0160886019708,1156.3385360188158,1112.0727529735759,0,24.385565682427004,22.895679557718189,24.338796979337644,23.179175676710457
